f1,f2
0.2031,7.0670
1.0000,1.1095
0.4669,2.7924
0.5103,2.2750
0.1000,10.0000
0.8062,1.2669
0.4004,2.4972
0.6071,1.6775
0.4581,3.3090
0.5989,2.0588
0.2286,5.4002
0.1000,11.7482
1.0000,1.2317
1.0000,1.3887
0.6174,2.0858
0.2710,5.3947
0.4053,3.2650
0.3410,3.7508
1.0000,1.0000
0.3129,4.1132
0.1190,9.3912
0.6753,1.6358
0.1000,13.1683
0.1000,10.0000
0.1000,10.9373
0.1847,5.5528
0.3798,3.1094
0.8831,1.4989
0.3364,2.9726
0.4146,2.5715
0.3880,3.0353
0.4110,2.7323
0.2657,3.7631
0.1852,6.0390
0.6109,2.3009
0.2316,5.6222
0.5914,2.1165
0.8786,1.4786
0.2439,6.4970
1.0000,1.3462
0.1991,7.2993
0.1000,11.1456
0.1351,7.5533
0.6733,2.0359
0.3449,4.1491
1.0000,1.2257
0.1000,12.0127
0.2046,5.8536
0.4250,3.2767
0.2747,4.0381
0.1000,10.4879
0.7279,1.6645
0.2918,3.8871
0.5131,2.7410
0.3424,3.8475
0.6841,1.7807
0.4472,2.6539
0.6163,1.8927
0.1087,15.6520
0.3184,4.1564
0.5549,2.4722
0.4554,2.9924
1.0000,1.0000
0.1000,13.3345
0.2351,7.6871
0.3822,3.7299
0.4032,3.5184
0.1000,11.4867
0.1000,12.1901
0.3384,3.1990
0.1000,12.5385
0.4361,2.2931
0.2819,4.3157
0.4257,2.4450
0.8464,1.4098
0.1000,12.5943
1.0000,1.3633
0.5820,1.7890
0.9047,1.5250
0.1858,6.3754
0.1000,11.9009
0.6499,1.8235
0.1177,12.7490
0.5140,2.7897
0.1324,8.3071
0.3850,3.1561
0.7203,1.7854
1.0000,1.1550
0.7063,1.7099
0.3937,3.4963
0.4154,3.3308
0.1000,11.9287
0.4019,2.8255
0.6189,2.3999
0.5586,2.1613
0.1562,6.5731
0.2065,5.5761
0.2919,3.9013
0.8363,1.4019
0.3753,3.5944
0.3501,3.1986
0.1000,10.0608
0.3286,4.1046
0.2896,3.9086
0.1044,12.2961
0.2827,3.9431
0.7923,2.0604
0.1005,11.4182
0.1520,6.5799
0.3866,2.7721
0.2578,4.5880
0.3672,3.6120
0.3357,3.8964
0.4246,2.8125
0.3569,4.4460
0.3667,4.2966
1.0000,1.4900
0.4221,3.9296
1.0000,1.2272
0.1750,6.6210
0.2769,4.3765
0.7099,1.5871
0.7419,1.7469
0.4007,3.1151
0.1948,6.9207
0.4054,2.7901
1.0000,1.0800
0.3269,3.3391
0.1239,8.4828
1.0000,1.2795
0.4725,2.1165
0.3066,4.0596
0.3458,3.2021
0.2475,4.7427
0.4464,2.9364
0.4599,2.7730
0.5484,1.8416
0.4521,2.5388
0.1000,14.0559
0.1977,5.6858
0.6592,1.9945
0.6239,1.6368
0.4883,2.7972
0.5023,2.2238
0.5785,2.0361
0.4606,2.3328
0.8068,1.4976
0.4328,2.3678
0.1328,9.7911
0.5033,2.2310
0.5377,1.8599
0.1574,7.2442
0.5357,1.8667
0.3299,3.1306
0.7428,1.8882
0.1989,5.6263
0.4890,2.3577
0.5960,1.9872
0.1944,6.0589
0.3427,3.5405
0.5168,2.2533
0.4996,2.5722
0.4813,2.9600
0.7059,1.6920
0.5229,2.6205
0.5107,1.9580
0.1530,6.9434
0.2077,6.2554
0.3010,4.0226
0.3803,3.0792
1.0000,1.3206
0.2365,5.2881
1.0000,1.7643
0.3619,2.7915
0.1463,8.8865
0.6878,1.7804
0.4639,2.8244
0.1384,8.3234
0.5193,2.8950
0.2448,5.1961
0.6199,1.9641
0.2859,3.8938
0.3667,4.2760
0.4658,3.4896
0.6037,2.6041
0.3572,4.2571
0.2642,4.6300
0.1736,8.1849
1.0000,1.2125
0.2863,5.1801
1.0000,1.0000
1.0000,1.0000
0.1000,10.7222
0.6001,2.3719
0.4336,2.7551
0.4458,2.3105
0.1000,10.0000
0.3580,2.8681
0.4914,3.6233
1.0000,1.4406
