x1,x2
0.7454,0.0491
0.4391,0.0000
0.6466,0.0573
1.0000,0.1400
0.3585,0.0000
0.3875,0.0384
0.5123,0.0765
0.5342,0.0000
0.7901,0.0000
0.4733,0.1039
0.6286,0.1463
0.4929,0.0000
0.2866,0.0113
0.5279,0.0995
0.1835,0.0000
0.5676,0.0503
0.7231,0.0000
0.4622,0.0408
0.2361,0.0000
0.4995,0.0066
0.6615,0.0357
0.9521,0.0000
0.2797,0.0225
0.1407,0.0163
0.3742,0.0000
0.1000,0.0000
0.1000,0.0000
0.2616,0.0616
0.5147,0.0000
0.1000,0.0000
0.3467,0.0000
0.3000,0.0856
1.0000,0.0994
0.3981,0.0720
0.4929,0.0000
0.5037,0.0000
0.4544,0.0000
0.2902,0.0000
0.6370,0.0336
0.5567,0.1241
0.7794,0.0681
0.1000,0.0000
0.8649,0.0000
0.5058,0.0000
0.5034,0.1720
0.4687,0.0000
0.3632,0.0000
0.3083,0.1556
0.1000,0.0583
1.0000,0.0000
0.4673,0.0284
1.0000,0.0000
0.1572,0.0000
0.4422,0.0000
0.5486,0.0000
0.2297,0.0000
1.0000,0.0000
0.3661,0.0000
0.7293,0.0000
0.4693,0.0000
0.3708,0.0000
0.5670,0.0000
0.5994,0.0000
0.1010,0.0931
0.9623,0.0000
0.2838,0.0000
0.7723,0.1095
0.3389,0.0000
0.4689,0.0000
0.2834,0.0000
0.5664,0.0000
0.7026,0.0000
0.1693,0.0000
0.6635,0.0000
1.0000,0.0149
0.9672,0.0000
0.2328,0.0000
0.6646,0.0677
0.5320,0.0000
0.3446,0.0000
0.1000,0.0000
0.4516,0.1463
0.5242,0.0232
0.7461,0.0991
0.7932,0.0000
0.5707,0.0000
0.5737,0.0699
0.1852,0.0432
0.3324,0.1320
0.7066,0.2052
0.2295,0.1008
0.1000,0.0831
0.4793,0.0030
0.4664,0.0000
0.6636,0.0000
0.8263,0.0000
0.7264,0.0000
0.3387,0.0000
0.4099,0.0000
0.3274,0.1153
0.2895,0.0410
0.1000,0.0000
0.3242,0.0000
0.6651,0.1296
0.3888,0.0000
0.9682,0.0172
0.5694,0.1057
0.9429,0.0000
0.3145,0.0570
0.9127,0.1853
0.8526,0.0000
0.2296,0.0000
0.1164,0.1003
0.6872,0.0000
0.8672,0.0108
0.7964,0.0000
0.4365,0.0550
0.3597,0.0000
0.4584,0.3111
1.0000,0.0000
0.1779,0.0412
0.7870,0.0000
0.7482,0.0827
0.3165,0.0000
0.7132,0.0000
0.5960,0.0000
0.3013,0.0519
0.1000,0.0000
0.8364,0.0000
0.7312,0.0000
0.2021,0.1396
0.2198,0.1222
0.6065,0.0000
0.6957,0.0010
0.5125,0.0000
0.5167,0.0000
1.0000,0.0000
0.8924,0.0000
0.6477,0.1247
0.2493,0.0000
0.1000,0.0000
0.6351,0.0683
0.7035,0.0565
0.1000,0.0000
0.1152,0.0712
0.5706,0.0587
0.3949,0.4619
0.5586,0.0000
0.1000,0.0000
0.9442,0.0597
0.8073,0.0720
0.1365,0.0966
0.7086,0.0041
0.7797,0.0672
0.3260,0.0736
0.1985,0.0000
0.4449,0.0737
0.7341,0.0917
1.0000,0.0000
0.6891,0.0000
0.1977,0.0014
0.1000,0.0717
0.8036,0.0081
0.8049,0.0708
0.7130,0.0000
0.6010,0.0630
0.6300,0.1162
0.1508,0.0291
0.7839,0.1740
0.6981,0.1381
0.3667,0.0000
0.7291,0.0000
0.4739,0.0534
0.2722,0.0216
0.5572,0.1625
0.8625,0.0055
0.1000,0.0000
0.3780,0.1238
0.2198,0.0490
0.7884,0.0787
0.8182,0.0000
0.1000,0.0000
0.4546,0.0000
0.4130,0.0000
0.3319,0.0000
0.4475,0.0181
0.4484,0.0411
0.3353,0.0538
0.3341,0.0596
0.7915,0.0000
0.8967,0.0193
0.7820,0.0000
0.4233,0.0318
0.2860,0.0000
0.8922,0.1180
0.1000,0.0000
0.3750,0.0000
0.9924,0.1536
0.5369,0.0000
0.5481,0.0251
0.1000,0.0997
0.8468,0.1581
0.5548,0.0000
0.2292,0.0000
0.3538,0.0581
1.0000,0.0377
1.0000,0.0000
0.5942,0.1025
1.0000,0.1110
0.5086,0.0065
0.3751,0.0503
0.4603,0.0000
0.6170,0.0810
0.1000,0.0870
0.4153,0.0929
0.8593,0.0000
0.5186,0.0317
0.1000,0.0888
0.1929,0.0646
0.4880,0.0000
0.1000,0.0000
0.4707,0.1108
0.6879,0.1208
0.9232,0.0000
0.7525,0.1175
0.1489,0.0000
0.5994,0.1695
0.3760,0.0688
0.2929,0.0000
0.6820,0.0000
0.2602,0.0000
0.8702,0.0879
0.1221,0.0000
0.2846,0.0000
0.3882,0.0000
0.1000,0.0000
0.7061,0.1761
1.0000,0.0000
0.2828,0.0000
0.5605,0.0000
1.0000,0.0891
0.6636,0.0000
0.7408,0.0000
0.6688,0.0185
0.1062,0.0000
0.5979,0.1886
0.6339,0.0000
0.3392,0.0000
0.5024,0.0000
0.1378,0.0902
0.5902,0.0000
0.9170,0.0000
0.5504,0.0770
0.2759,0.0000
1.0000,0.0000
0.2818,0.0163
0.6601,0.0000
0.4431,0.0000
0.6613,0.1877
0.1084,0.0000
0.4047,0.0436
0.2562,0.0131
0.6236,0.0509
0.9160,0.0184
0.4145,0.0000
0.4040,0.0000
0.7403,0.0050
0.6111,0.0000
0.7525,0.0000
0.4332,0.0000
0.6766,0.0839
0.7310,0.0000
0.9665,0.2052
0.1000,0.0000
0.9644,0.0000
0.3785,0.0135
0.8935,0.0000
0.4623,0.0000
0.2542,0.0098
0.4007,0.2242
0.6982,0.1581
0.9000,0.0000
0.5662,0.0000
0.7550,0.0185
0.4053,0.0837
0.6862,0.0425
0.2689,0.0000
0.1000,0.1013
0.3179,0.0000
0.6279,0.3268
0.7804,0.1017
0.2804,0.1130
0.4857,0.0000
0.1482,0.0771
0.5383,0.0000
0.3495,0.0000
0.3503,0.1154
1.0000,0.2150
0.3307,0.0439
0.4883,0.0000
0.5546,0.0372
0.8672,0.0000
0.3203,0.0000
0.2841,0.0000
0.8484,0.0000
0.8695,0.1697
0.7242,0.0000
0.3155,0.0280
0.6869,0.0000
0.4552,0.0000
0.1000,0.0487
0.5197,0.0000
0.6765,0.0202
0.1000,0.0000
0.4122,0.0307
0.6758,0.0367
0.2657,0.0000
0.8139,0.0000
0.3225,0.0000
0.3037,0.0312
0.3120,0.1361
0.2751,0.0000
1.0000,0.0000
0.3830,0.0021
0.3426,0.0000
0.5766,0.1265
0.1000,0.0000
0.1000,0.1477
0.8441,0.0421
0.4637,0.2355
0.4605,0.0175
0.1000,0.0808
0.6561,0.0115
0.5503,0.0675
0.1000,0.0750
0.7863,0.0910
0.4105,0.1981
0.3892,0.0000
1.0000,0.0000
0.5199,0.2442
0.5428,0.0000
0.4723,0.0818
0.3633,0.1870
0.5385,0.0000
0.6099,0.0000
0.7910,0.0000
0.7840,0.0762
0.3817,0.2343
0.6953,0.1677
0.6129,0.0090
0.9474,0.1213
0.1876,0.0000
0.5455,0.0000
0.7530,0.1486
0.9654,0.0229
0.8285,0.0000
0.2987,0.0889
0.3534,0.0000
0.1109,0.0000
0.1000,0.1104
0.8437,0.0105
1.0000,0.0734
0.5529,0.1149
0.2964,0.0326
0.5141,0.0081
0.9039,0.0000
0.5259,0.0000
0.7809,0.0505
0.3588,0.0000
0.2370,0.0000
0.9421,0.0392
1.0000,0.0048
0.8914,0.1031
0.1000,0.0000
0.5093,0.1673
0.3819,0.0000
0.7882,0.0907
1.0000,0.0000
0.5646,0.1693
0.1000,0.0711
0.1168,0.2932
0.3938,0.0000
0.9329,0.0451
0.2066,0.0809
0.3399,0.1522
1.0000,0.0000
0.2530,0.0544
0.3167,0.0073
0.1698,0.0000
0.1000,0.0000
0.4005,0.0000
1.0000,0.0902
0.7016,0.0000
0.1000,0.0000
0.6885,0.0274
0.4467,0.1424
0.5061,0.0329
0.7592,0.0062
0.4879,0.0000
0.7480,0.0465
0.9338,0.0017
0.7213,0.0000
1.0000,0.1504
0.6751,0.0000
0.4721,0.1241
0.6722,0.0151
0.1000,0.2364
0.4489,0.1802
0.1000,0.0056
0.2524,0.0305
0.2866,0.0000
0.6256,0.0000
0.2143,0.0803
0.4483,0.0000
0.8973,0.0332
0.7906,0.0000
0.4147,0.0000
0.4486,0.0000
0.7748,0.0401
0.2952,0.0267
0.2732,0.0000
0.8760,0.0000
0.5304,0.0567
0.6125,0.0000
0.7244,0.1089
0.5483,0.0000
0.6302,0.0000
0.1000,0.1151
0.4860,0.0000
0.1539,0.0506
0.3100,0.0659
0.7063,0.0984
0.6836,0.0103
0.6212,0.0216
1.0000,0.0000
0.7480,0.0000
0.1000,0.0285
0.4328,0.0000
0.2446,0.0118
0.5210,0.0084
0.3655,0.0000
0.8594,0.0000
0.5019,0.0271
0.8336,0.0495
0.8713,0.0067
0.7064,0.0000
0.4382,0.0597
0.8609,0.0000
0.4306,0.0333
0.5128,0.0670
0.5438,0.2556
0.3606,0.0000
0.4079,0.0000
0.5075,0.0000
0.5956,0.0000
0.8457,0.0000
1.0000,0.0000
0.7532,0.2704
0.8685,0.0000
0.1000,0.0000
0.7213,0.0330
0.5009,0.0354
0.3748,0.0000
0.6084,0.0000
0.2319,0.0000
0.1000,0.1250
0.4554,0.1494
0.3986,0.1563
0.8633,0.2385
0.7908,0.0000
0.3998,0.1288
0.4422,0.0384
0.4131,0.0637
0.7473,0.0756
0.2259,0.0197
0.5373,0.1839
0.6917,0.0327
1.0000,0.0713
0.7183,0.0096
0.2069,0.0000
1.0000,0.0766
0.1179,0.1619
0.6373,0.0000
0.4026,0.0000
0.8681,0.0000
0.8391,0.0011
0.4592,0.1267
0.3346,0.0000
0.5414,0.0129
0.2069,0.0628
