f1,f2
0.6379,1.5791
0.5573,1.8301
0.5235,1.9561
0.8164,1.2292
0.6998,1.4604
0.7872,1.2702
0.5067,1.9735
0.6937,1.4571
0.6974,1.4553
0.6162,1.6239
0.6125,1.6326
0.8049,1.2591
0.5504,1.8167
0.4144,2.4134
0.5871,1.7031
0.5098,1.9614
0.8291,1.2143
0.5538,1.8056
0.6926,1.4795
0.5634,1.7793
0.6031,1.6643
0.5489,1.8312
0.5126,1.9771
0.7136,1.4013
0.5237,1.9096
0.4449,2.2896
0.5610,1.7825
0.6149,1.6262
0.7197,1.4038
0.8013,1.2630
0.6502,1.5584
0.3721,2.7195
0.5889,1.7133
0.4517,2.2288
0.8237,1.2229
0.7566,1.3217
0.5110,1.9570
0.7682,1.3083
0.5329,1.9008
0.5150,1.9774
0.6062,1.6906
0.5191,1.9365
0.7124,1.4130
0.5489,1.8723
0.7521,1.3411
0.6803,1.4718
0.4838,2.0892
0.7008,1.4596
0.7575,1.3201
0.6531,1.5311
0.7698,1.2991
0.4342,2.3240
0.6987,1.4419
0.6061,1.6498
0.5617,1.8099
0.7730,1.2941
0.5918,1.6898
0.4604,2.1980
0.5856,1.7592
0.5178,1.9516
0.5454,1.8399
0.5327,1.9725
0.6043,1.6617
0.5341,1.8722
0.6149,1.6481
0.7450,1.3724
0.6410,1.5988
0.6955,1.4379
0.7339,1.3626
0.5816,1.7193
0.4984,2.0094
0.6979,1.4405
0.4989,2.0060
0.7223,1.3844
0.6551,1.5265
0.6474,1.5446
0.6939,1.4428
0.4945,2.0586
0.4838,2.0670
0.6561,1.5242
0.6385,1.5661
0.4961,2.0581
0.4509,2.2271
0.5865,1.7049
0.7996,1.2506
0.5599,1.7861
0.6483,1.5426
0.5627,1.7771
0.7280,1.3737
0.8209,1.2280
0.6541,1.5497
0.6422,1.5570
0.6382,1.5887
0.7165,1.3958
0.5584,1.7910
0.4759,2.1530
0.4116,2.4455
0.7340,1.3723
0.5796,1.7485
0.8338,1.2021
0.4739,2.1102
0.5843,1.7114
0.5156,1.9548
0.7154,1.4028
0.8546,1.1953
0.7194,1.3998
0.5413,1.8473
0.6059,1.6505
0.6018,1.7232
0.7115,1.4272
0.6798,1.4925
0.5665,1.7652
0.5497,1.8193
0.6952,1.4496
0.7037,1.4408
0.5367,1.8733
0.6322,1.6008
0.7907,1.2789
0.5386,1.8657
0.5589,1.7950
0.7507,1.3588
0.5098,1.9633
0.6488,1.5535
0.5903,1.6984
0.6606,1.5250
0.6529,1.5375
0.6628,1.5088
0.5575,1.7938
0.8163,1.2317
0.7896,1.2822
0.7534,1.3383
0.5763,1.7351
0.7711,1.2968
0.4735,2.1121
0.5459,1.8544
0.6136,1.6298
0.5934,1.6957
0.5796,1.7317
0.5556,1.7999
0.7014,1.4258
0.6954,1.4380
0.5426,1.8480
0.5018,1.9927
0.7899,1.2945
0.4885,2.0593
0.5502,1.8193
0.6547,1.5275
0.4526,2.2096
0.4305,2.3279
0.7497,1.3488
0.4691,2.1873
0.5739,1.7479
0.6567,1.5228
0.5293,1.9351
0.5492,1.8210
0.7465,1.3547
0.4740,2.1318
0.7819,1.2848
0.4794,2.1053
0.7988,1.2624
0.6356,1.5771
0.5489,1.8941
0.7409,1.3507
0.7334,1.3635
0.5798,1.7248
0.4789,2.1203
0.8025,1.2627
0.5629,1.8043
0.7273,1.3749
0.7211,1.3868
0.6666,1.5002
0.5448,1.8419
0.6459,1.5749
0.4736,2.1114
0.5536,1.8462
0.4622,2.1840
0.6146,1.6271
0.4822,2.1386
0.6953,1.4383
0.6464,1.5526
0.5955,1.6794
0.7277,1.3941
0.8050,1.2422
0.5276,1.9276
0.7920,1.2687
0.6063,1.6548
0.7426,1.3466
0.5174,1.9327
0.6837,1.4753
0.8060,1.2566
0.6423,1.5570
0.6189,1.6215
0.4827,2.0741
0.5700,1.7543
0.5753,1.7383
0.7263,1.3781
0.5710,1.8063
0.6623,1.5098
0.5401,1.8554
0.6170,1.6208
0.4884,2.0871
0.4691,2.1714
0.6162,1.6228
0.5084,1.9672
0.4354,2.2969
0.7260,1.3880
0.5538,1.8149
0.6270,1.6031
0.8246,1.2338
0.6485,1.5577
0.6413,1.5744
0.5262,1.9320
0.5675,1.7759
0.4779,2.1381
0.8114,1.2576
0.7298,1.3907
0.4015,2.5271
0.6087,1.6986
0.6342,1.5767
0.6739,1.4840
0.5383,1.8835
0.6028,1.6590
0.4454,2.2780
0.6417,1.5582
0.5914,1.6908
0.6772,1.4767
0.4675,2.2008
0.7828,1.2843
0.5515,1.8131
0.5217,1.9398
0.7134,1.4230
0.6638,1.5236
0.6806,1.4693
0.6777,1.4857
0.7508,1.3418
0.5862,1.7059
0.5984,1.6711
0.5637,1.7785
0.6378,1.5679
0.4567,2.2098
0.6367,1.5707
0.5613,1.7906
0.4822,2.0737
0.5452,1.8342
0.5601,1.8116
0.6728,1.4888
0.5263,1.9174
0.6520,1.5338
0.6411,1.5919
0.6746,1.5187
0.6085,1.6433
0.6350,1.6007
0.5680,1.7759
0.5951,1.6805
0.6196,1.6139
0.8114,1.2359
0.5533,1.8144
0.7015,1.4489
0.7088,1.4108
0.7061,1.4181
0.6993,1.4300
0.5821,1.7285
0.5495,1.8894
0.8226,1.2214
0.4793,2.1441
0.7335,1.3703
0.5530,1.8084
0.8101,1.2345
0.5782,1.7295
